Продукт;Белков, г;Жиров, г;Углеводов, г;Калории, ккал;ГИ
Яичный порошок;46.0;37.3;4.5;542.0;0
Яичный желток;16.2;31.2;1.0;352.0;0
Желтки яичные;16.2;31.2;1.0;352.0;0
Яйцо перепелиное;11.9;13.1;0.6;168.0;0
Яйцо куриное;12.7;10.9;0.7;157.0;0
Яйцо страуса;12.2;11.7;0.7;118.0;0
Куриное яйцо;12.7;10.9;0.3;80.0;0
Яичный белок;11.0;0.0;0.0;45.0;0
Белки яичные;11.1;0.0;0.0;44.0;0
